career_label,skills,interests,career_goal,projects_done,education_branch,year_of_study,cgpa,has_internship,weakness,preferred_work,open_to_masters,combined_text
Cloud Engineer,"linux, azure, cloud security, python, networking, monitoring, docker, git, gcp, serverless, aws, storage services",infrastructure,azure engineer,multi-region architecture,Computer Science,2nd year,7.4,True,need to improve debugging skills,service company,True,linux azure cloud security python networking monitoring docker git gcp serverless aws storage services infrastructure azure engineer multi-region architecture computer science internship need to improve debugging skills
Embedded Systems Engineer,"raspberry pi, debugging, electronics, arduino, microcontrollers, c, c++",iot,hardware software engineer,iot home automation,Computer Science,1st year,6.2,False,need to improve debugging skills,research organization,False,raspberry pi debugging electronics arduino microcontrollers c c++ iot hardware software engineer iot home automation computer science no internship need to improve debugging skills
Data Scientist,"numpy, probability, sql, data visualization",machine learning,data science engineer,customer churn prediction,Information Technology,final year,8.8,False,weak in networking concepts,service company,True,numpy probability sql data visualization machine learning data science engineer customer churn prediction information technology no internship weak in networking concepts
Business Analyst,"tableau, uml, requirement gathering, sql, excel, agile, jira, documentation",process improvement,systems analyst,business requirement document,Business Administration,3rd year,6.8,False,need to improve problem solving speed,fintech startup,True,tableau uml requirement gathering sql excel agile jira documentation process improvement systems analyst business requirement document business administration no internship need to improve problem solving speed
Data Analyst,"tableau, sql, data visualization, excel, python, statistics, google analytics, power bi, looker, r, pandas",data analysis,business analyst,excel dashboard,Commerce,4th year,7.1,False,not confident in public speaking,edtech company,True,tableau sql data visualization excel python statistics google analytics power bi looker r pandas data analysis business analyst excel dashboard commerce no internship not confident in public speaking
Full Stack Developer,"react, sql, javascript, mongodb, css, docker, nextjs, rest api, git, node.js, aws, html",web development,mern stack developer,full stack ecommerce app,Computer Science,2nd year,8.1,True,weak in mathematics,service company,True,react sql javascript mongodb css docker nextjs rest api git node.js aws html web development mern stack developer full stack ecommerce app computer science internship weak in mathematics
Cybersecurity Analyst,"linux, networking, firewalls, security fundamentals, ethical hacking",ethical hacking,ethical hacker,ctf writeups,Information Technology,1st year,7.5,False,need to improve communication skills,research organization,True,linux networking firewalls security fundamentals ethical hacking ethical hacking ethical hacker ctf writeups information technology no internship need to improve communication skills
Data Scientist,"numpy, pytorch, data visualization, python, statistics, probability",artificial intelligence,data science engineer,customer churn prediction,Computer Science,3rd year,6.1,True,need to improve communication skills,research organization,False,numpy pytorch data visualization python statistics probability artificial intelligence data science engineer customer churn prediction computer science internship need to improve communication skills
QA Engineer,"sql, performance testing, postman, api testing, git, test cases, sdlc, manual testing",bug hunting,qa engineer,api testing suite,Computer Science,final year,6.9,False,need to improve debugging skills,"product company, remote",True,sql performance testing postman api testing git test cases sdlc manual testing bug hunting qa engineer api testing suite computer science no internship need to improve debugging skills
Business Analyst,"requirement gathering, excel, data analysis, communication, documentation",requirement analysis,requirements analyst,gap analysis report,Management,3rd year,7.8,False,need to improve problem solving speed,mnc with good work life balance,False,requirement gathering excel data analysis communication documentation requirement analysis requirements analyst gap analysis report management no internship need to improve problem solving speed
Full Stack Developer,"react, sql, html, rest api, git, node.js, javascript",full stack development,web application developer,full stack ecommerce app,Information Technology,3rd year,9.3,False,need to improve problem solving speed,remote job,False,react sql html rest api git node.js javascript full stack development web application developer full stack ecommerce app information technology no internship need to improve problem solving speed
Cybersecurity Analyst,"linux, sql, python, networking, firewalls, compliance, security fundamentals, ethical hacking, cryptography",information security,information security analyst,security audit,Computer Science,2nd year,7.7,False,not confident in public speaking,startup environment,False,linux sql python networking firewalls compliance security fundamentals ethical hacking cryptography information security information security analyst security audit computer science no internship not confident in public speaking
Frontend Developer,"vue, responsive design, css, nextjs, rest api, git, javascript",frontend development,web developer,dashboard ui,Information Technology,1st year,6.4,True,limited knowledge of cloud platforms,fintech startup,True,vue responsive design css nextjs rest api git javascript frontend development web developer dashboard ui information technology internship limited knowledge of cloud platforms
Backend Engineer,"data structures, sql, python, databases, rest api, git, node.js, aws, java",distributed systems,backend developer,blog api,Information Technology,final year,7.9,True,need to improve debugging skills,fintech startup,True,data structures sql python databases rest api git node.js aws java distributed systems backend developer blog api information technology internship need to improve debugging skills
Data Scientist,"sql, statistics, nlp, probability, feature engineering, pandas",predictive modeling,data science engineer,sentiment analysis,Mathematics,2nd year,9.4,False,weak in networking concepts,"product company, remote",False,sql statistics nlp probability feature engineering pandas predictive modeling data science engineer sentiment analysis mathematics no internship weak in networking concepts
Cloud Engineer,"linux, azure, cloud security, python, networking, monitoring, git, gcp, cost optimization, aws, storage services",azure,cloud architect,multi-region architecture,Computer Science,1st year,8.9,True,lack of real-world project experience,research organization,False,linux azure cloud security python networking monitoring git gcp cost optimization aws storage services azure cloud architect multi-region architecture computer science internship lack of real-world project experience
Mobile Developer,"flutter, dart, rest api, git, react native, kotlin, java",android development,ios developer,food delivery app,Computer Science,1st year,10.0,False,not confident in public speaking,service company,True,flutter dart rest api git react native kotlin java android development ios developer food delivery app computer science no internship not confident in public speaking
Data Analyst,"sql, data visualization, python, excel, statistics, dashboard design, etl, pandas",insight generation,business analyst,sql analytics project,Information Technology,3rd year,6.7,False,weak in statistics,edtech company,False,sql data visualization python excel statistics dashboard design etl pandas insight generation business analyst sql analytics project information technology no internship weak in statistics
Embedded Systems Engineer,"assembly, raspberry pi, electronics, debugging, arduino, c, microcontrollers, rtos, c++",firmware development,hardware software engineer,iot home automation,Mechatronics,final year,8.6,False,not confident in public speaking,"product company, remote",False,assembly raspberry pi electronics debugging arduino c microcontrollers rtos c++ firmware development hardware software engineer iot home automation mechatronics no internship not confident in public speaking
Cybersecurity Analyst,"linux, cloud security, sql, penetration testing, networking, firewalls, kali linux, ethical hacking, cryptography, siem tools",penetration testing,penetration tester,penetration testing report,Information Technology,4th year,9.9,False,limited knowledge of cloud platforms,remote job,False,linux cloud security sql penetration testing networking firewalls kali linux ethical hacking cryptography siem tools penetration testing penetration tester penetration testing report information technology no internship limited knowledge of cloud platforms
QA Engineer,"sql, bug reporting, automation testing, test cases, manual testing",api testing,quality assurance analyst,test automation framework,Computer Science,1st year,9.1,True,weak in mathematics,edtech company,True,sql bug reporting automation testing test cases manual testing api testing quality assurance analyst test automation framework computer science internship weak in mathematics
Mobile Developer,"flutter, push notifications, mobile ui, dart, rest api, git, react native, kotlin, android",cross platform apps,ios developer,fitness tracker app,Electronics and Communication,3rd year,8.8,False,not confident in interviews,service company,False,flutter push notifications mobile ui dart rest api git react native kotlin android cross platform apps ios developer fitness tracker app electronics and communication no internship not confident in interviews
DevOps Engineer,"linux, ci/cd, monitoring, networking basics, aws",devops,platform engineer,automated deployment pipeline,Computer Science,final year,8.3,True,not good at system design,"product company, remote",True,linux ci/cd monitoring networking basics aws devops platform engineer automated deployment pipeline computer science internship not good at system design
Backend Engineer,"databases, git, rest api, node.js, aws, java",api design,backend developer,rest api backend,Software Engineering,2nd year,7.2,True,weak in statistics,fintech startup,False,databases git rest api node.js aws java api design backend developer rest api backend software engineering internship weak in statistics
Software Engineer,"data structures, object oriented programming, agile, design patterns, problem solving, unit testing, c++",hackathons,software developer,task manager app,Computer Science,2nd year,6.6,False,need to improve communication skills,research organization,False,data structures object oriented programming agile design patterns problem solving unit testing c++ hackathons software developer task manager app computer science no internship need to improve communication skills
Mobile Developer,"flutter, android, state management, git, firebase, sqlite, java",mobile app development,ios developer,food delivery app,Information Technology,final year,6.4,False,need to work on time management,startup environment,True,flutter android state management git firebase sqlite java mobile app development ios developer food delivery app information technology no internship need to work on time management
DevOps Engineer,"shell scripting, grafana, terraform, networking basics, ci/cd, git, prometheus, kubernetes, jenkins",site reliability,infrastructure engineer,automated deployment pipeline,Computer Science,final year,6.3,False,need to improve debugging skills,fintech startup,True,shell scripting grafana terraform networking basics ci/cd git prometheus kubernetes jenkins site reliability infrastructure engineer automated deployment pipeline computer science no internship need to improve debugging skills
ML Engineer,"numpy, deep learning, model deployment, machine learning",mlops,deep learning engineer,deployed ml api,Computer Science,1st year,8.7,False,need to improve problem solving speed,edtech company,True,numpy deep learning model deployment machine learning mlops deep learning engineer deployed ml api computer science no internship need to improve problem solving speed
Cybersecurity Analyst,"linux, sql, networking, firewalls, security fundamentals, ethical hacking, cryptography",penetration testing,penetration tester,firewall configuration,Electronics and Communication,3rd year,7.9,False,not confident in public speaking,"product company, remote",True,linux sql networking firewalls security fundamentals ethical hacking cryptography penetration testing penetration tester firewall configuration electronics and communication no internship not confident in public speaking
DevOps Engineer,"linux, terraform, networking basics, ci/cd, git, kubernetes, aws",devops,platform engineer,infrastructure as code,Computer Science,1st year,9.1,True,limited knowledge of cloud platforms,service company,False,linux terraform networking basics ci/cd git kubernetes aws devops platform engineer infrastructure as code computer science internship limited knowledge of cloud platforms
Data Analyst,"tableau, google analytics, data visualization, statistics, power bi, pivot tables, pandas",business analytics,business analyst,market analysis report,Business Administration,3rd year,9.0,True,weak in mathematics,remote job,False,tableau google analytics data visualization statistics power bi pivot tables pandas business analytics business analyst market analysis report business administration internship weak in mathematics
Cybersecurity Analyst,"linux, cloud security, sql, python, firewalls, cryptography, wireshark, siem tools",network security,security engineer,firewall configuration,Electronics and Communication,1st year,7.6,False,not confident in public speaking,mnc with good work life balance,True,linux cloud security sql python firewalls cryptography wireshark siem tools network security security engineer firewall configuration electronics and communication no internship not confident in public speaking
Mobile Developer,"android, dart, ios, state management, git, kotlin, java",mobile app development,android developer,e-learning app,Electronics and Communication,1st year,7.8,False,weak in networking concepts,edtech company,False,android dart ios state management git kotlin java mobile app development android developer e-learning app electronics and communication no internship weak in networking concepts
Cloud Engineer,"linux, azure, cloud security, terraform, python, networking, docker, git, serverless, aws, storage services",aws,cloud engineer,serverless api on lambda,Electronics and Communication,2nd year,8.1,True,lack of real-world project experience,remote job,True,linux azure cloud security terraform python networking docker git serverless aws storage services aws cloud engineer serverless api on lambda electronics and communication internship lack of real-world project experience
Business Analyst,"python basics, requirement gathering, uml, excel, sql, power bi, data analysis, communication, jira, documentation",business analysis,systems analyst,process flow diagram,Information Technology,final year,7.4,False,need to improve problem solving speed,startup environment,False,python basics requirement gathering uml excel sql power bi data analysis communication jira documentation business analysis systems analyst process flow diagram information technology no internship need to improve problem solving speed
DevOps Engineer,"linux, shell scripting, grafana, ci/cd, networking basics, docker, git, gcp, kubernetes, aws",site reliability,cloud engineer,ci/cd pipeline setup,Information Technology,4th year,7.5,True,not good at system design,fintech startup,False,linux shell scripting grafana ci/cd networking basics docker git gcp kubernetes aws site reliability cloud engineer ci/cd pipeline setup information technology internship not good at system design
Full Stack Developer,"react, mongodb, git, node.js, javascript",web development,full stack engineer,real estate website,Computer Science,3rd year,8.5,True,need to improve debugging skills,remote job,True,react mongodb git node.js javascript web development full stack engineer real estate website computer science internship need to improve debugging skills
Cloud Engineer,"linux, azure, cloud security, terraform, python, networking, docker, aws",azure,cloud developer,aws s3 file storage app,Information Technology,2nd year,6.8,False,need to improve debugging skills,research organization,True,linux azure cloud security terraform python networking docker aws azure cloud developer aws s3 file storage app information technology no internship need to improve debugging skills
Backend Engineer,"data structures, microservices, sql, message queues, git, node.js, aws, java, system design",distributed systems,backend developer,inventory management api,Computer Science,final year,8.3,False,weak in mathematics,edtech company,False,data structures microservices sql message queues git node.js aws java system design distributed systems backend developer inventory management api computer science no internship weak in mathematics
Cybersecurity Analyst,"linux, sql, python, networking, firewalls, compliance, security fundamentals, ethical hacking, cryptography, wireshark, penetration testing",penetration testing,penetration tester,penetration testing report,Information Technology,4th year,6.0,False,weak in mathematics,startup environment,True,linux sql python networking firewalls compliance security fundamentals ethical hacking cryptography wireshark penetration testing penetration testing penetration tester penetration testing report information technology no internship weak in mathematics
QA Engineer,"bug reporting, api testing, test cases, sdlc, manual testing",performance testing,software tester,performance test report,Software Engineering,final year,9.4,False,weak in networking concepts,research organization,True,bug reporting api testing test cases sdlc manual testing performance testing software tester performance test report software engineering no internship weak in networking concepts
Mobile Developer,"flutter, mobile ui, dart, ios, state management, git, react native, java",mobile app development,android developer,weather app flutter,Computer Science,2nd year,8.9,False,weak in statistics,mnc with good work life balance,True,flutter mobile ui dart ios state management git react native java mobile app development android developer weather app flutter computer science no internship weak in statistics
Backend Engineer,"data structures, microservices, sql, python, redis, databases, git, rest api, node.js, java",server-side development,backend engineer at a product company,inventory management api,Computer Science,final year,7.1,False,lack of real-world project experience,"product company, remote",True,data structures microservices sql python redis databases git rest api node.js java server-side development backend engineer at a product company inventory management api computer science no internship lack of real-world project experience
Mobile Developer,"flutter, mobile ui, android, ios, git, java",flutter development,android developer,expense tracker,Electronics and Communication,2nd year,6.7,True,need to improve communication skills,fintech startup,True,flutter mobile ui android ios git java flutter development android developer expense tracker electronics and communication internship need to improve communication skills
Cloud Engineer,"linux, azure, terraform, python, networking, monitoring, docker, storage services",aws,aws engineer,aws s3 file storage app,Electronics and Communication,1st year,8.7,True,not good at system design,"product company, remote",False,linux azure terraform python networking monitoring docker storage services aws aws engineer aws s3 file storage app electronics and communication internship not good at system design
Software Engineer,"data structures, object oriented programming, python, c++, problem solving, algorithms, git, java",software development,work at a tech startup,task manager app,Information Technology,3rd year,8.7,False,need to improve debugging skills,mnc with good work life balance,True,data structures object oriented programming python c++ problem solving algorithms git java software development work at a tech startup task manager app information technology no internship need to improve debugging skills
DevOps Engineer,"linux, shell scripting, networking basics, ci/cd, docker, ansible, git, prometheus, gcp, kubernetes, aws",infrastructure,platform engineer,automated deployment pipeline,Computer Science,3rd year,6.2,False,limited knowledge of cloud platforms,startup environment,False,linux shell scripting networking basics ci/cd docker ansible git prometheus gcp kubernetes aws infrastructure platform engineer automated deployment pipeline computer science no internship limited knowledge of cloud platforms
Data Analyst,"tableau, excel, statistics, python",business analytics,data analyst,market analysis report,Information Technology,1st year,8.6,False,weak in mathematics,"product company, remote",False,tableau excel statistics python business analytics data analyst market analysis report information technology no internship weak in mathematics
Data Analyst,"tableau, sql, data visualization, excel, python, power bi, etl, pandas",dashboards,reporting analyst,power bi report,Commerce,2nd year,8.0,False,weak in mathematics,edtech company,True,tableau sql data visualization excel python power bi etl pandas dashboards reporting analyst power bi report commerce no internship weak in mathematics
ML Engineer,"pytorch, python, mlops, tensorflow, model deployment, docker, deep learning, aws sagemaker, pandas",deep learning,ai engineer,nlp pipeline,Mathematics,3rd year,9.4,False,weak in statistics,research organization,False,pytorch python mlops tensorflow model deployment docker deep learning aws sagemaker pandas deep learning ai engineer nlp pipeline mathematics no internship weak in statistics
DevOps Engineer,"linux, shell scripting, terraform, networking basics, ci/cd, monitoring, docker, git, gcp, kubernetes, jenkins, aws",infrastructure,platform engineer,ci/cd pipeline setup,Computer Science,2nd year,7.0,False,need to improve communication skills,mnc with good work life balance,False,linux shell scripting terraform networking basics ci/cd monitoring docker git gcp kubernetes jenkins aws infrastructure platform engineer ci/cd pipeline setup computer science no internship need to improve communication skills
Backend Engineer,"data structures, sql, python, message queues, docker, databases, git, rest api, node.js, java",databases,api developer,blog api,Computer Science,3rd year,8.6,True,lack of real-world project experience,edtech company,False,data structures sql python message queues docker databases git rest api node.js java databases api developer blog api computer science internship lack of real-world project experience
Business Analyst,"tableau, uml, sql, excel, agile, data analysis, communication",business analysis,systems analyst,business requirement document,Information Technology,4th year,6.9,False,need to improve debugging skills,startup environment,False,tableau uml sql excel agile data analysis communication business analysis systems analyst business requirement document information technology no internship need to improve debugging skills
Software Engineer,"linux, object oriented programming, python, c++, design patterns, problem solving, algorithms, rest api, git, java",software development,backend developer,chat application,Software Engineering,3rd year,6.9,True,not confident in public speaking,remote job,True,linux object oriented programming python c++ design patterns problem solving algorithms rest api git java software development backend developer chat application software engineering internship not confident in public speaking
Cybersecurity Analyst,"linux, sql, networking, firewalls, security fundamentals, cryptography, siem tools",information security,penetration tester,security audit,Computer Science,1st year,8.6,False,limited knowledge of cloud platforms,research organization,False,linux sql networking firewalls security fundamentals cryptography siem tools information security penetration tester security audit computer science no internship limited knowledge of cloud platforms
ML Engineer,"tensorflow, spark, model deployment, machine learning, deep learning",neural networks,ai engineer,ml model monitoring,Computer Science,final year,6.4,True,need to improve debugging skills,startup environment,False,tensorflow spark model deployment machine learning deep learning neural networks ai engineer ml model monitoring computer science internship need to improve debugging skills
Frontend Developer,"react, responsive design, css, typescript, git, html",ui development,react developer,portfolio website,Information Technology,1st year,8.6,False,need to work on time management,remote job,False,react responsive design css typescript git html ui development react developer portfolio website information technology no internship need to work on time management
Frontend Developer,"responsive design, css, html, rest api, javascript",frontend development,ui developer,todo app,Electronics,1st year,7.1,False,need to improve communication skills,remote job,True,responsive design css html rest api javascript frontend development ui developer todo app electronics no internship need to improve communication skills
ML Engineer,"pytorch, python, tensorflow, model deployment, machine learning, deep learning, kubernetes, fastapi",machine learning engineering,mlops engineer,ml model monitoring,Information Technology,1st year,6.9,True,need to improve communication skills,research organization,True,pytorch python tensorflow model deployment machine learning deep learning kubernetes fastapi machine learning engineering mlops engineer ml model monitoring information technology internship need to improve communication skills
Data Analyst,"tableau, excel, statistics, etl, pivot tables, machine learning basics, pandas",data analysis,data analyst,sales dashboard,Business Administration,final year,8.3,True,weak in statistics,research organization,False,tableau excel statistics etl pivot tables machine learning basics pandas data analysis data analyst sales dashboard business administration internship weak in statistics
Embedded Systems Engineer,"debugging, electronics, c++, matlab, arduino, microcontrollers, c, rtos, pcb design, raspberry pi",robotics,firmware engineer,smart irrigation system,Electronics and Communication,1st year,9.3,False,need to improve debugging skills,startup environment,False,debugging electronics c++ matlab arduino microcontrollers c rtos pcb design raspberry pi robotics firmware engineer smart irrigation system electronics and communication no internship need to improve debugging skills
Data Scientist,"numpy, sql, data visualization, python, statistics, nlp, machine learning, probability, pandas",machine learning,data scientist,customer churn prediction,Electronics,3rd year,9.7,False,weak in statistics,"product company, remote",False,numpy sql data visualization python statistics nlp machine learning probability pandas machine learning data scientist customer churn prediction electronics no internship weak in statistics
Data Analyst,"tableau, sql, data visualization, python, power bi",dashboards,analytics engineer,sales dashboard,Information Technology,final year,9.8,False,need to improve problem solving speed,service company,True,tableau sql data visualization python power bi dashboards analytics engineer sales dashboard information technology no internship need to improve problem solving speed
Cybersecurity Analyst,"sql, networking, firewalls, ethical hacking, cryptography",ctf challenges,cybersecurity analyst,penetration testing report,Computer Science,final year,6.4,True,weak in statistics,research organization,False,sql networking firewalls ethical hacking cryptography ctf challenges cybersecurity analyst penetration testing report computer science internship weak in statistics
Cybersecurity Analyst,"linux, sql, networking, firewalls, ethical hacking, security fundamentals, wireshark, penetration testing",information security,security engineer,penetration testing report,Information Technology,1st year,8.7,False,lack of real-world project experience,remote job,False,linux sql networking firewalls ethical hacking security fundamentals wireshark penetration testing information security security engineer penetration testing report information technology no internship lack of real-world project experience
Software Engineer,"data structures, python, design patterns, problem solving, algorithms, c++, system design",open source,sde at faang,url shortener,Software Engineering,final year,8.9,False,need to improve debugging skills,"product company, remote",True,data structures python design patterns problem solving algorithms c++ system design open source sde at faang url shortener software engineering no internship need to improve debugging skills
DevOps Engineer,"linux, azure, shell scripting, networking basics, ci/cd, docker, git, prometheus, kubernetes, jenkins, aws",system administration,platform engineer,automated deployment pipeline,Computer Science,3rd year,8.2,False,not confident in public speaking,service company,False,linux azure shell scripting networking basics ci/cd docker git prometheus kubernetes jenkins aws system administration platform engineer automated deployment pipeline computer science no internship not confident in public speaking
Embedded Systems Engineer,"linux, assembly, debugging, electronics, iot, c, microcontrollers, raspberry pi",electronics,robotics engineer,arduino sensor project,Mechatronics,1st year,6.2,False,not good at system design,edtech company,True,linux assembly debugging electronics iot c microcontrollers raspberry pi electronics robotics engineer arduino sensor project mechatronics no internship not good at system design
ML Engineer,"numpy, pytorch, python, tensorflow, model deployment, machine learning, deep learning, fastapi, pandas, data pipelines",machine learning engineering,deep learning engineer,deployed ml api,Artificial Intelligence,2nd year,7.5,False,need to work on time management,mnc with good work life balance,False,numpy pytorch python tensorflow model deployment machine learning deep learning fastapi pandas data pipelines machine learning engineering deep learning engineer deployed ml api artificial intelligence no internship need to work on time management
Mobile Developer,"flutter, mobile ui, android, dart, ios, git, firebase, kotlin, sqlite, java",android development,ios developer,notes app,Electronics and Communication,final year,6.8,True,not confident in interviews,edtech company,False,flutter mobile ui android dart ios git firebase kotlin sqlite java android development ios developer notes app electronics and communication internship not confident in interviews
Frontend Developer,"react, javascript, css, rest api, git, typescript, tailwind css, html",web design,react developer,blog website,Computer Science,2nd year,8.1,False,need to improve debugging skills,remote job,True,react javascript css rest api git typescript tailwind css html web design react developer blog website computer science no internship need to improve debugging skills
Full Stack Developer,"react, sql, javascript, mongodb, css, nextjs, docker, rest api, git, node.js, aws, html",building web applications,web application developer,real estate website,Information Technology,2nd year,7.2,True,need to improve communication skills,fintech startup,False,react sql javascript mongodb css nextjs docker rest api git node.js aws html building web applications web application developer real estate website information technology internship need to improve communication skills
UI/UX Designer,"figma, html css basics, typography, accessibility, sketch, color theory, design thinking, prototyping",ux research,visual designer,e-commerce ux design,Computer Science,1st year,8.0,True,need to improve debugging skills,remote job,True,figma html css basics typography accessibility sketch color theory design thinking prototyping ux research visual designer e-commerce ux design computer science internship need to improve debugging skills
Data Analyst,"tableau, sql, data visualization, python, excel, statistics, power bi, looker",reporting,business analyst,sales dashboard,Mathematics,3rd year,7.6,False,weak in mathematics,service company,True,tableau sql data visualization python excel statistics power bi looker reporting business analyst sales dashboard mathematics no internship weak in mathematics
Business Analyst,"python basics, requirement gathering, uml, sql, excel, power bi, data analysis, documentation",project management,it business analyst,stakeholder analysis,Business Administration,4th year,8.1,False,lack of real-world project experience,service company,False,python basics requirement gathering uml sql excel power bi data analysis documentation project management it business analyst stakeholder analysis business administration no internship lack of real-world project experience
QA Engineer,"sql, performance testing, bug reporting, automation testing, git, jmeter, test cases, manual testing",api testing,quality assurance analyst,selenium test scripts,Computer Science,4th year,9.9,True,need to improve problem solving speed,startup environment,False,sql performance testing bug reporting automation testing git jmeter test cases manual testing api testing quality assurance analyst selenium test scripts computer science internship need to improve problem solving speed
Full Stack Developer,"sql, git, node.js, html",full stack development,full stack developer,job portal,Information Technology,1st year,6.7,False,not confident in interviews,service company,True,sql git node.js html full stack development full stack developer job portal information technology no internship not confident in interviews
Software Engineer,"data structures, python, agile, algorithms, unit testing, git, rest api, java, system design",hackathons,backend developer,task manager app,Software Engineering,4th year,9.4,True,weak in networking concepts,"product company, remote",True,data structures python agile algorithms unit testing git rest api java system design hackathons backend developer task manager app software engineering internship weak in networking concepts
Business Analyst,"sql, excel, stakeholder management, data analysis, communication, documentation",process improvement,requirements analyst,stakeholder analysis,Commerce,1st year,7.8,False,need to improve debugging skills,service company,True,sql excel stakeholder management data analysis communication documentation process improvement requirements analyst stakeholder analysis commerce no internship need to improve debugging skills
Backend Engineer,"python, redis, message queues, databases, git, node.js",databases,api developer,payment gateway integration,Computer Science,final year,6.9,False,need to improve problem solving speed,edtech company,True,python redis message queues databases git node.js databases api developer payment gateway integration computer science no internship need to improve problem solving speed
Business Analyst,"sql, uml, excel, data analysis, communication, documentation",project management,business analyst,process flow diagram,Information Technology,4th year,7.9,False,need to improve communication skills,mnc with good work life balance,False,sql uml excel data analysis communication documentation project management business analyst process flow diagram information technology no internship need to improve communication skills
Data Scientist,"numpy, tableau, python, statistics, tensorflow, spark, machine learning, feature engineering, pandas",artificial intelligence,ai researcher,stock price forecasting,Information Technology,4th year,7.2,True,limited knowledge of cloud platforms,mnc with good work life balance,False,numpy tableau python statistics tensorflow spark machine learning feature engineering pandas artificial intelligence ai researcher stock price forecasting information technology internship limited knowledge of cloud platforms
Cybersecurity Analyst,"linux, sql, networking, firewalls, ethical hacking, security fundamentals",network security,cybersecurity analyst,ctf writeups,Electronics and Communication,2nd year,7.9,True,need to improve debugging skills,edtech company,False,linux sql networking firewalls ethical hacking security fundamentals network security cybersecurity analyst ctf writeups electronics and communication internship need to improve debugging skills
ML Engineer,"numpy, mlops, tensorflow, model deployment, deep learning, fastapi, pandas, data pipelines",machine learning engineering,machine learning engineer,ml model monitoring,Mathematics,2nd year,9.8,True,not confident in public speaking,fintech startup,False,numpy mlops tensorflow model deployment deep learning fastapi pandas data pipelines machine learning engineering machine learning engineer ml model monitoring mathematics internship not confident in public speaking
Data Analyst,"tableau, sql, excel, python, power bi, pandas",insight generation,business analyst,customer behavior analysis,Commerce,2nd year,7.9,True,not confident in public speaking,edtech company,False,tableau sql excel python power bi pandas insight generation business analyst customer behavior analysis commerce internship not confident in public speaking
Software Engineer,"linux, object oriented programming, python, problem solving, algorithms, unit testing, git, java, system design",hackathons,backend developer,task manager app,Information Technology,1st year,8.0,True,need to improve problem solving speed,research organization,True,linux object oriented programming python problem solving algorithms unit testing git java system design hackathons backend developer task manager app information technology internship need to improve problem solving speed
Data Scientist,"numpy, sql, data visualization, python, machine learning, probability, pandas",data analysis,machine learning practitioner,house price prediction,Computer Science,4th year,8.9,False,need to improve communication skills,mnc with good work life balance,False,numpy sql data visualization python machine learning probability pandas data analysis machine learning practitioner house price prediction computer science no internship need to improve communication skills
Mobile Developer,"flutter, mobile ui, android, dart, git, kotlin, java",flutter development,cross platform developer,weather app flutter,Electronics and Communication,3rd year,7.5,True,need to work on time management,remote job,True,flutter mobile ui android dart git kotlin java flutter development cross platform developer weather app flutter electronics and communication internship need to work on time management
ML Engineer,"numpy, pytorch, python, model deployment, machine learning",mlops,deep learning engineer,image recognition model,Artificial Intelligence,final year,7.5,False,not confident in public speaking,edtech company,False,numpy pytorch python model deployment machine learning mlops deep learning engineer image recognition model artificial intelligence no internship not confident in public speaking
DevOps Engineer,"linux, terraform, ci/cd, monitoring, docker, git, prometheus, jenkins",automation,platform engineer,infrastructure as code,Computer Science,2nd year,7.3,True,weak in mathematics,service company,True,linux terraform ci/cd monitoring docker git prometheus jenkins automation platform engineer infrastructure as code computer science internship weak in mathematics
Embedded Systems Engineer,"assembly, debugging, electronics, raspberry pi, matlab, arduino, iot, c, microcontrollers, rtos, pcb design, c++",embedded systems,embedded systems engineer,smart irrigation system,Computer Science,4th year,8.9,False,not confident in interviews,remote job,False,assembly debugging electronics raspberry pi matlab arduino iot c microcontrollers rtos pcb design c++ embedded systems embedded systems engineer smart irrigation system computer science no internship not confident in interviews
UI/UX Designer,"figma, typography, user research, accessibility, sketch, wireframing, color theory, invision, design thinking, prototyping",ui design,visual designer,user research report,Design,1st year,8.8,False,need to improve problem solving speed,mnc with good work life balance,True,figma typography user research accessibility sketch wireframing color theory invision design thinking prototyping ui design visual designer user research report design no internship need to improve problem solving speed
Data Analyst,"tableau, data visualization, python, power bi, pandas",insight generation,data analyst,sales dashboard,Information Technology,final year,6.5,False,need to work on time management,research organization,False,tableau data visualization python power bi pandas insight generation data analyst sales dashboard information technology no internship need to work on time management
Software Engineer,"data structures, linux, object oriented programming, python, agile, design patterns, problem solving, algorithms, rest api, java",competitive programming,sde at faang,task manager app,Information Technology,4th year,6.1,False,need to improve communication skills,remote job,True,data structures linux object oriented programming python agile design patterns problem solving algorithms rest api java competitive programming sde at faang task manager app information technology no internship need to improve communication skills
Backend Engineer,"data structures, sql, python, rest api, git, java",server-side development,server-side engineer,inventory management api,Information Technology,4th year,8.1,False,not confident in public speaking,service company,False,data structures sql python rest api git java server-side development server-side engineer inventory management api information technology no internship not confident in public speaking
Frontend Developer,"react, javascript, vue, responsive design, css, nextjs, git, html",web animations,frontend developer,dashboard ui,Information Technology,1st year,8.0,True,need to improve debugging skills,"product company, remote",True,react javascript vue responsive design css nextjs git html web animations frontend developer dashboard ui information technology internship need to improve debugging skills
DevOps Engineer,"linux, shell scripting, terraform, ci/cd, networking basics, monitoring, docker, ansible, git, gcp, kubernetes, aws",cloud computing,infrastructure engineer,dockerized application,Information Technology,2nd year,7.5,True,need to improve communication skills,fintech startup,True,linux shell scripting terraform ci/cd networking basics monitoring docker ansible git gcp kubernetes aws cloud computing infrastructure engineer dockerized application information technology internship need to improve communication skills
